id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,origin_id,network_id,contents
2,2019-11-15 17:45:13.312026,"{""human"":true}",,,,,f,,{},info,7,1,Mercury
3,2019-11-15 17:45:15.681478,"{""human"":true}",,,,,f,,{},info,11,1,Jupiter
4,2019-11-15 17:45:17.144174,"{""human"":true}",,,,,f,,{},info,10,1,Venus
5,2019-11-15 17:45:20.151794,"{""human"":true}",,,,,f,,{},info,9,1,Mercury
7,2019-11-15 17:45:24.175744,"{""human"":true}",,,,,f,,{},info,11,1,Food
8,2019-11-15 17:45:32.377777,"{""human"":true}",,,,,f,,{},info,7,1,Place
9,2019-11-15 17:45:33.315128,"{""human"":true}",,,,,f,,{},info,9,1,Food
10,2019-11-15 17:45:37.128961,"{""human"":false}",,,,,f,,{},info,10,1,Place
12,2019-11-15 17:45:47.060948,"{""human"":true}",,,,,f,,{},info,9,1,49
13,2019-11-15 17:45:47.896208,"{""human"":true}",,,,,f,,{},info,10,1,45
14,2019-11-15 17:45:52.012105,"{""human"":true}",,,,,f,,{},info,11,1,45
15,2019-11-15 17:45:53.320309,"{""human"":true}",,,,,f,,{},info,7,1,45
17,2019-11-15 17:45:57.423429,"{""human"":true}",,,,,f,,{},info,7,1,Xenon
18,2019-11-15 17:45:58.833681,"{""human"":true}",,,,,f,,{},info,10,1,Uranium
19,2019-11-15 17:46:00.074058,"{""human"":true}",,,,,f,,{},info,11,1,Xenon
20,2019-11-15 17:46:01.635453,"{""human"":true}",,,,,f,,{},info,9,1,Xenon
22,2019-11-15 17:46:07.666798,"{""human"":true}",,,,,f,,{},info,11,1,Russia
23,2019-11-15 17:46:07.710688,"{""human"":true}",,,,,f,,{},info,10,1,Russia
24,2019-11-15 17:46:08.321578,"{""human"":true}",,,,,f,,{},info,9,1,India
25,2019-11-15 17:46:08.864273,"{""human"":true}",,,,,f,,{},info,7,1,Russia
27,2019-11-15 17:46:19.906618,"{""human"":true}",,,,,f,,{},info,10,1,Not enough information
28,2019-11-15 17:46:21.661782,"{""human"":true}",,,,,f,,{},info,7,1,Younger
29,2019-11-15 17:46:23.146426,"{""human"":true}",,,,,f,,{},info,9,1,Not enough information
30,2019-11-15 17:46:24.200889,"{""human"":true}",,,,,f,,{},info,11,1,Younger
32,2019-11-15 17:46:28.400465,"{""human"":true}",,,,,f,,{},info,9,1,$0.05
33,2019-11-15 17:46:28.454244,"{""human"":true}",,,,,f,,{},info,7,1,$0.10
34,2019-11-15 17:46:28.904823,"{""human"":true}",,,,,f,,{},info,10,1,$0.10
35,2019-11-15 17:46:30.823607,"{""human"":true}",,,,,f,,{},info,11,1,$0.10
37,2019-11-15 17:46:35.023513,"{""human"":true}",,,,,f,,{},info,9,1,Asia
38,2019-11-15 17:46:35.234733,"{""human"":true}",,,,,f,,{},info,10,1,Asia
39,2019-11-15 17:46:40.489202,"{""human"":true}",,,,,f,,{},info,11,1,Europe
40,2019-11-15 17:46:42.896331,"{""human"":true}",,,,,f,,{},info,7,1,Asia
42,2019-11-15 17:46:50.785241,"{""human"":true}",,,,,f,,{},info,10,1,East
43,2019-11-15 17:46:56.89909,"{""human"":true}",,,,,f,,{},info,9,1,North
44,2019-11-15 17:46:58.114458,"{""human"":true}",,,,,f,,{},info,11,1,West
45,2019-11-15 17:47:03.444229,"{""human"":false}",,,,,f,,{},info,7,1,West
47,2019-11-15 17:47:08.083211,"{""human"":true}",,,,,f,,{},info,7,1,The Comedy of Errors
48,2019-11-15 17:47:10.550037,"{""human"":true}",,,,,f,,{},info,10,1,Romeo and Juiliet
49,2019-11-15 17:47:12.191862,"{""human"":true}",,,,,f,,{},info,9,1,Macbeth
50,2019-11-15 17:47:12.884497,"{""human"":true}",,,,,f,,{},info,11,1,Romeo and Juiliet
52,2019-11-15 17:47:13.451384,"{""human"":false}",,,,,f,,{},info,11,1,Quiz Finished
53,2019-11-15 17:47:14.169718,"{""human"":false}",,,,,f,,{},info,7,1,Quiz Finished
54,2019-11-15 17:47:14.250723,"{""human"":false}",,,,,f,,{},info,10,1,Quiz Finished
55,2019-11-15 17:47:14.537498,"{""human"":false}",,,,,f,,{},info,9,1,Quiz Finished
1,2019-11-15 17:45:05.905542,,,,,,t,2019-11-15 17:47:14.691885,{},info,1,1,"{""question"": ""What is the hottest planet in the solar system?"", ""number"": 1, ""Wwer1"": ""Mercury"", ""Wwer2"": ""Jupiter"", ""Rwer"": ""Venus""}"
