id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,network_id,participant_id
15,2019-11-15 18:01:56.247707,"{""score_in_quiz"": 4, ""last_request"": ""2019-11-15 18:07:10.432452""}","{""prestige"": 0}","{""score_in_pgg"": 75.0, ""round_earnings"": []}","{""leftovers"": 10, ""donation"": 0, ""info_choice"": ""full""}","{""prestige_list"": [5, 5, 8, 7, 5, 6], ""conform_list"": [5.25, 6.75, 4.75, 2.0, 1.25, 2.5], ""payoff_list"": [1, 2, 0, 1, 0, 2]}",f,,{},probe_node,2,10
14,2019-11-15 17:54:38.372725,"{""score_in_quiz"": 3, ""last_request"": ""2019-11-15 18:07:10.673118""}","{""prestige"": 0}","{""score_in_pgg"": 99.0, ""round_earnings"": []}","{""leftovers"": 8, ""donation"": 2, ""info_choice"": ""full""}","{""prestige_list"": [5, 5, 8, 7, 5, 6], ""conform_list"": [5.25, 6.75, 4.75, 2.0, 1.25, 2.5], ""payoff_list"": [1, 2, 0, 1, 0, 2]}",f,,{},probe_node,2,8
5,2019-11-15 17:31:17.908619,,,,,,f,,{},quiz_source,3,
6,2019-11-15 17:31:17.913743,"{""pot"": 0}","{""round"": 0}","{""snowdrift"": 0}",,,f,,{},pot_of_greed_bot,3,
12,2019-11-15 17:46:50.881476,"{""score_in_quiz"": 5, ""last_request"": ""2019-11-15 18:07:11.118293""}","{""prestige"": 1}","{""score_in_pgg"": 69.0, ""round_earnings"": []}","{""leftovers"": 4, ""donation"": 6, ""info_choice"": ""full""}","{""prestige_list"": [5, 5, 8, 7, 5, 6], ""conform_list"": [5.25, 6.75, 4.75, 2.0, 1.25, 2.5], ""payoff_list"": [1, 2, 0, 1, 0, 2]}",f,,{},probe_node,2,6
16,2019-11-15 18:04:19.656289,"{""score_in_quiz"": 0, ""last_request"": ""2019-11-15 18:06:28.035921""}","{""prestige"": 0}","{""score_in_pgg"": 0, ""round_earnings"": []}","{""leftovers"": 0, ""donation"": 0, ""info_choice"": ""full""}","{""prestige_list"": [], ""conform_list"": [], ""payoff_list"": []}",t,2019-11-15 18:06:35.40008,{},probe_node,3,11
13,2019-11-15 17:47:29.258917,"{""score_in_quiz"": 4, ""last_request"": ""2019-11-15 18:07:11.721251""}","{""prestige"": 0}","{""score_in_pgg"": 87.0, ""round_earnings"": []}","{""leftovers"": 8, ""donation"": 2, ""info_choice"": ""full""}","{""prestige_list"": [5, 5, 8, 7, 5, 6], ""conform_list"": [5.25, 6.75, 4.75, 2.0, 1.25, 2.5], ""payoff_list"": [1, 2, 0, 1, 0, 2]}",f,,{},probe_node,2,7
8,2019-11-15 17:34:27.053589,"{""score_in_quiz"": 0, ""last_request"": ""2019-11-15 17:35:28.938302""}","{""prestige"": 0}","{""score_in_pgg"": 0, ""round_earnings"": []}","{""leftovers"": 0, ""donation"": 0, ""info_choice"": ""full""}","{""prestige_list"": [], ""conform_list"": [], ""payoff_list"": []}",t,2019-11-15 17:35:44.114822,{},probe_node,1,2
10,2019-11-15 17:40:04.581636,"{""score_in_quiz"": 4, ""last_request"": ""2019-11-15 17:51:07.217007""}","{""prestige"": 1}","{""score_in_pgg"": 93.0, ""round_earnings"": []}","{""leftovers"": 10, ""donation"": 0, ""info_choice"": ""full""}","{""prestige_list"": [0, 0, 0, 0, 0, 0], ""conform_list"": [3.0, 3.75, 3.25, 2.5, 2.0, 2.0], ""payoff_list"": [0, 0, 0, 0, 0, 0]}",f,,{},probe_node,1,4
7,2019-11-15 17:33:55.80343,"{""score_in_quiz"": 4, ""last_request"": ""2019-11-15 17:51:07.346466""}","{""prestige"": 0}","{""score_in_pgg"": 93.0, ""round_earnings"": []}","{""leftovers"": 10, ""donation"": 0, ""info_choice"": ""full""}","{""prestige_list"": [0, 0, 0, 0, 0, 0], ""conform_list"": [3.0, 3.75, 3.25, 2.5, 2.0, 2.0], ""payoff_list"": [0, 0, 0, 0, 0, 0]}",f,,{},probe_node,1,1
2,2019-11-15 17:31:17.888613,"{""pot"": 4.0}","{""round"": 6}","{""snowdrift"": 0}",,,f,,{},pot_of_greed_bot,1,
9,2019-11-15 17:39:25.652423,"{""score_in_quiz"": 3, ""last_request"": ""2019-11-15 17:51:07.857036""}","{""prestige"": 0}","{""score_in_pgg"": 46.0, ""round_earnings"": []}","{""leftovers"": 2, ""donation"": 8, ""info_choice"": ""full""}","{""prestige_list"": [0, 0, 0, 0, 0, 0], ""conform_list"": [3.0, 3.75, 3.25, 2.5, 2.0, 2.0], ""payoff_list"": [0, 0, 0, 0, 0, 0]}",f,,{},probe_node,1,3
1,2019-11-15 17:31:17.881297,,,,,,t,2019-11-15 17:47:14.600511,{},quiz_source,1,
