id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,fingerprint_hash,recruiter_id,worker_id,assignment_id,unique_id,hit_id,mode,end_time,base_pay,bonus,status
2,2019-11-15 17:34:22.461173,,,,,,f,,{},participant,b86fc8199c79e687f3b3095213827987,mturk,2,3MMN5BL1W0DKZ6RFX1PZGKU2A3K3MN,2:3MMN5BL1W0DKZ6RFX1PZGKU2A3K3MN,39O6Z4JLX26DJ7U85FSDLD7XUWDVXX,live,2019-11-15 17:35:44.10143,,,returned
6,2019-11-15 17:46:42.745324,,,,,,f,,{},participant,cf56486329d18cf6bd50b51677862b4d,mturk,6,3Q5C1WP23NAQHWSUIYUUBP4JQOG153,6:3Q5C1WP23NAQHWSUIYUUBP4JQOG153,39O6Z4JLX26DJ7U85FSDLD7XUWDVXX,live,2019-11-15 18:09:43.54592,1,1.73,approved
12,2019-11-15 18:08:10.763339,,,,,,f,,{},participant,34e88b7d9839a10049258ee32402ab18,mturk,12,3G2UL9A02EN0BM7ACXL8459WP5R67L,12:3G2UL9A02EN0BM7ACXL8459WP5R67L,39O6Z4JLX26DJ7U85FSDLD7XUWDVXX,live,,,,working
4,2019-11-15 17:39:53.974694,,,,,,f,,{},participant,8250a04089938a141d882a1d94f62328,mturk,4,3H7XDTSHKD0HYUXHWI268CL2CA2WGE,4:3H7XDTSHKD0HYUXHWI268CL2CA2WGE,39O6Z4JLX26DJ7U85FSDLD7XUWDVXX,live,2019-11-15 17:52:28.83107,1,2.33,approved
8,2019-11-15 17:54:30.463786,,,,,,f,,{},participant,f009fd91147e8f4d7a18a57070eef046,mturk,8,37U1UTWH9WVXXJADEQGCT0WNWCB8R8,8:37U1UTWH9WVXXJADEQGCT0WNWCB8R8,39O6Z4JLX26DJ7U85FSDLD7XUWDVXX,live,2019-11-15 18:10:16.1143,1,2.48,approved
1,2019-11-15 17:33:51.201284,,,,,,f,,{},participant,468be265adf92d725f8af2854c8cbd83,mturk,1,3OVHNO1VE7AIG5SV5FL51VCNGKQZDX,1:3OVHNO1VE7AIG5SV5FL51VCNGKQZDX,39O6Z4JLX26DJ7U85FSDLD7XUWDVXX,live,2019-11-15 17:52:44.101049,1,2.33,approved
7,2019-11-15 17:46:44.552582,,,,,,f,,{},participant,b9fcd0fbfbeac38227e505d4091ca1b7,mturk,7,3QBD8R3Z22STH5VVAV9VITBDJ3UO47,7:3QBD8R3Z22STH5VVAV9VITBDJ3UO47,39O6Z4JLX26DJ7U85FSDLD7XUWDVXX,live,2019-11-15 18:08:21.043905,1,2.18,approved
9,2019-11-15 18:00:29.391388,,,,,,f,,{},participant,10b5bdbe2087db5ced2501b8ebaec1ec,mturk,9,39DD6S19JQKN8B6V1AWP7DU8GWRZEQ,9:39DD6S19JQKN8B6V1AWP7DU8GWRZEQ,39O6Z4JLX26DJ7U85FSDLD7XUWDVXX,live,2019-11-15 18:15:44.954518,,,returned
5,2019-11-15 17:44:27.196585,,,,,,f,,{},participant,e04ceae97d5e740ee5640ffa258c2162,mturk,5,3SLE99ER0OMP18UBRJUZ65ONDZEZBQ,5:3SLE99ER0OMP18UBRJUZ65ONDZEZBQ,39O6Z4JLX26DJ7U85FSDLD7XUWDVXX,live,2019-11-15 17:54:24.819636,1,1.85,approved
13,2019-11-15 18:08:52.412617,,,,,,f,,{},participant,cd364c9f83343b1b8255ffa86c8f395c,mturk,13,33SA9F9TRY3JEG1QQNCI890QZUNWEX,13:33SA9F9TRY3JEG1QQNCI890QZUNWEX,39O6Z4JLX26DJ7U85FSDLD7XUWDVXX,live,2019-11-15 18:19:12.681412,,,returned
3,2019-11-15 17:38:45.75671,,,,,,f,,{},participant,aac4d644df04ec4847bf5736ef21940e,mturk,3,3MMN5BL1W0DKZ6RFX1PZGKU2A3K3MN,3:3MMN5BL1W0DKZ6RFX1PZGKU2A3K3MN,39O6Z4JLX26DJ7U85FSDLD7XUWDVXX,live,2019-11-15 17:55:15.424582,1,1.15,approved
11,2019-11-15 18:04:15.289568,,,,,,f,,{},participant,eeea6bc48ea4f9719e75f925a3b5d86a,mturk,11,33SA9F9TRY3JEG1QQNCI890QZUNWEX,11:33SA9F9TRY3JEG1QQNCI890QZUNWEX,39O6Z4JLX26DJ7U85FSDLD7XUWDVXX,live,2019-11-15 18:06:35.389837,,,returned
10,2019-11-15 18:01:28.375402,,,,,,f,,{},participant,8dd472df56952af98bffb7790f39f84b,mturk,10,31JLPPHS2V38Z9CRAH4C8OJ753YO3M,10:31JLPPHS2V38Z9CRAH4C8OJ753YO3M,39O6Z4JLX26DJ7U85FSDLD7XUWDVXX,live,2019-11-15 18:08:48.481281,1,1.88,approved
