id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,origin_id,destination_id,network_id
2,2019-11-15 17:34:27.098035,,,,,,t,2019-11-15 17:35:44.125353,{},1,8,1
1,2019-11-15 17:33:55.84691,,,,,,t,2019-11-15 17:47:14.610888,{},1,7,1
3,2019-11-15 17:39:25.694561,,,,,,t,2019-11-15 17:47:14.615882,{},1,9,1
4,2019-11-15 17:40:04.623461,,,,,,t,2019-11-15 17:47:14.634198,{},1,10,1
5,2019-11-15 17:45:05.888897,,,,,,t,2019-11-15 17:47:14.651781,{},1,11,1
7,2019-11-15 17:47:14.806763,,,,,,f,,{},2,11,1
8,2019-11-15 17:47:14.812525,,,,,,f,,{},2,10,1
9,2019-11-15 17:47:14.818013,,,,,,f,,{},2,9,1
10,2019-11-15 17:47:14.823578,,,,,,f,,{},2,7,1
11,2019-11-15 17:47:14.829276,,,,,,f,,{},11,2,1
12,2019-11-15 17:47:14.834844,,,,,,f,,{},11,10,1
13,2019-11-15 17:47:14.840619,,,,,,f,,{},11,9,1
14,2019-11-15 17:47:14.845968,,,,,,f,,{},11,7,1
15,2019-11-15 17:47:14.851377,,,,,,f,,{},10,2,1
16,2019-11-15 17:47:14.856743,,,,,,f,,{},10,11,1
17,2019-11-15 17:47:14.862103,,,,,,f,,{},10,9,1
18,2019-11-15 17:47:14.867817,,,,,,f,,{},10,7,1
19,2019-11-15 17:47:14.87306,,,,,,f,,{},9,2,1
20,2019-11-15 17:47:14.878459,,,,,,f,,{},9,11,1
21,2019-11-15 17:47:14.88383,,,,,,f,,{},9,10,1
22,2019-11-15 17:47:14.889176,,,,,,f,,{},9,7,1
23,2019-11-15 17:47:14.894666,,,,,,f,,{},7,2,1
24,2019-11-15 17:47:14.900199,,,,,,f,,{},7,11,1
25,2019-11-15 17:47:14.905872,,,,,,f,,{},7,10,1
26,2019-11-15 17:47:14.911007,,,,,,f,,{},7,9,1
6,2019-11-15 17:46:50.922853,,,,,,t,2019-11-15 18:04:07.454901,{},3,12,2
27,2019-11-15 17:47:29.297729,,,,,,t,2019-11-15 18:04:07.459438,{},3,13,2
28,2019-11-15 17:54:38.409989,,,,,,t,2019-11-15 18:04:07.477538,{},3,14,2
29,2019-11-15 18:01:56.291403,,,,,,t,2019-11-15 18:04:07.495106,{},3,15,2
30,2019-11-15 18:04:07.623996,,,,,,f,,{},4,15,2
31,2019-11-15 18:04:07.629726,,,,,,f,,{},4,14,2
32,2019-11-15 18:04:07.635182,,,,,,f,,{},4,12,2
33,2019-11-15 18:04:07.640938,,,,,,f,,{},4,13,2
34,2019-11-15 18:04:07.646716,,,,,,f,,{},15,4,2
35,2019-11-15 18:04:07.652331,,,,,,f,,{},15,14,2
36,2019-11-15 18:04:07.657949,,,,,,f,,{},15,12,2
37,2019-11-15 18:04:07.663238,,,,,,f,,{},15,13,2
38,2019-11-15 18:04:07.668569,,,,,,f,,{},14,4,2
39,2019-11-15 18:04:07.673862,,,,,,f,,{},14,15,2
40,2019-11-15 18:04:07.679227,,,,,,f,,{},14,12,2
41,2019-11-15 18:04:07.684771,,,,,,f,,{},14,13,2
42,2019-11-15 18:04:07.690324,,,,,,f,,{},12,4,2
43,2019-11-15 18:04:07.69571,,,,,,f,,{},12,15,2
44,2019-11-15 18:04:07.70105,,,,,,f,,{},12,14,2
45,2019-11-15 18:04:07.706463,,,,,,f,,{},12,13,2
46,2019-11-15 18:04:07.711944,,,,,,f,,{},13,4,2
47,2019-11-15 18:04:07.717521,,,,,,f,,{},13,15,2
48,2019-11-15 18:04:07.724656,,,,,,f,,{},13,14,2
49,2019-11-15 18:04:07.732115,,,,,,f,,{},13,12,2
50,2019-11-15 18:04:19.694218,,,,,,t,2019-11-15 18:06:35.408205,{},5,16,3
51,2019-11-15 18:08:18.39834,,,,,,f,,{},5,17,3
52,2019-11-15 18:08:24.091477,,,,,,t,2019-11-15 18:15:44.971058,{},5,18,3
53,2019-11-15 18:09:03.709289,,,,,,t,2019-11-15 18:19:12.697011,{},5,19,3
